Date,Unleaded pump (inc VAT),Unleaded pump (exc VAT),Unleaded delivered wholesale,Diesel pump (inc VAT),Diesel pump (exc VAT),Diesel delivered wholesale
2013-01-02,131.94,109.95,105.98,139.93,116.61,111.51
2013-01-15,132.54,110.45,106.44,140.1,116.75,112.71
2013-02-01,134.42,112.02,111.95,141.67,118.06,116.07
2013-02-15,137.26,114.38,113.92,144.16,120.13,117.01
2013-03-01,139.78,116.48,111.09,146.25,121.88,115.32
2013-03-15,138.74,115.62,111.75,145.54,121.28,114.43
2013-04-02,137.84,114.87,111.91,143.57,119.64,115.1
2013-05-01,134.79,112.33,104.68,139.27,116.06,107.93
2013-05-15,133.28,111.07,107.36,138.09,115.08,109.94
2013-06-03,134.35,111.96,107.94,139.01,115.84,110.04
2013-06-17,134.54,112.12,107.61,139.14,115.95,111.2
2013-07-01,133.69,111.41,107.6,138.39,115.33,111.41
2013-07-15,135.49,112.91,112.44,140,116.67,113.81
2013-08-01,137.22,114.35,112.2,141.52,117.93,114.4
2013-08-15,137.31,114.43,110.37,141.66,118.05,113.6
2013-09-02,137.73,114.78,110.87,142.02,118.35,114.77
2013-09-16,137.81,114.84,105.74,142.47,118.73,112.77
2013-10-01,133.92,111.6,103.61,140.27,116.89,110.03
2013-10-15,132.16,110.13,105.57,139.12,115.93,111.92
2013-11-01,130.97,109.14,103.22,138.23,115.19,110.51
2013-11-15,130.34,108.62,104.52,137.7,114.75,109.77
2013-12-02,130.72,108.93,104,138.01,115.01,110.52
2013-12-16,131.1,109.25,103.72,138.52,115.43,110.5
2014-01-02,130.79,108.99,103.81,138.24,115.2,109.29
2014-02-17,129.55,107.96,103.88,136.91,114.09,108.62
2014-03-03,129.83,108.19,104.17,137.12,114.27,109.39
2014-03-17,129.38,107.82,103.55,136.48,113.73,107.03
2014-04-01,129.51,107.93,104.9,136.22,113.52,107.96
2014-04-15,129.74,108.12,106.03,136.26,113.55,108.54
2014-05-01,130.22,108.52,104.7,136.41,113.68,106.75
2014-05-16,130.1,108.42,105.26,136.25,113.54,107.43
2014-06-02,130.2,108.5,105.34,136.22,113.52,106.18
2014-06-16,130.31,108.59,106.14,135.58,112.98,107.45
2014-07-01,131.52,109.6,106.22,136.25,113.54,106.77
2014-07-15,131.23,109.36,103.6,135.8,113.17,104.83
2014-08-01,130.5,108.75,102.3,134.87,112.39,106.14
2014-08-15,129.76,108.13,102.66,134,111.67,105.75
2014-09-01,128.72,107.27,103.32,133.02,110.85,105.64
2014-09-15,129.18,107.65,102.73,133.29,111.08,105.16
2014-10-01,128.49,107.08,102.13,132.81,110.68,104.32
2014-10-15,126.93,105.78,96.52,131.08,109.23,101.24
2014-11-03,123.77,103.14,96.77,128.06,106.72,102.16
2014-11-17,122.86,102.38,96.38,127.27,106.06,100.02
2014-12-01,121.45,101.21,91.54,125.99,104.99,96.87
2014-12-15,116.9,97.42,87.12,122.33,101.94,92.46
2015-01-02,112.08,93.4,85.03,118.74,98.95,90.16
2015-01-16,107.46,89.55,83.68,114.81,95.68,88.39
2015-02-02,106.39,88.66,86.71,113.42,94.52,90.44
2015-02-16,108.12,90.1,88.82,114.76,95.63,93.93
2015-03-02,109.95,91.63,89.97,116.65,97.21,93.38
2015-03-16,111.78,93.15,89.54,118.05,98.38,90.84
2015-04-01,113.06,94.22,91.62,118.73,98.94,92.14
2015-04-17,113.49,94.58,93.95,118.92,99.1,94.14
2015-05-01,115.14,95.95,94.7,119.8,99.83,94.74
2015-05-15,116.32,96.93,93.3,120.58,100.48,94.15
2015-06-01,116.66,97.22,95.13,120.84,100.7,94.35
2015-06-15,117.13,97.61,95.53,120.88,100.73,92.87
2015-07-01,117.05,97.54,94.36,120.63,100.53,92.66
2015-07-16,117.24,97.7,92.6,118.98,99.15,89.93
2015-08-03,116.38,96.98,91.4,115.24,96.03,87.27
2015-08-17,114.73,95.61,88.88,111.65,93.04,87.52
2015-09-01,111.7,93.08,86.77,109.86,91.55,88.44
2015-09-15,111.16,92.63,85.33,110.41,92.01,86.79
2015-10-01,109.45,91.21,85.44,110.26,91.88,87.92
2015-10-15,109.27,91.06,84.17,110.77,92.31,86.11
2015-11-02,107.67,89.73,85.31,109.77,91.48,86.74
2015-11-16,107.98,89.98,82.99,110.11,91.76,84.98
2015-12-01,107.55,89.63,84.54,109.86,91.55,84.36
2015-12-15,104.37,86.98,82.87,107.72,89.77,80.68
2016-01-04,102.69,85.58,84.02,105.99,88.33,80.84
2016-01-18,102.25,85.21,81.08,102.6,85.5,77.91
2016-02-01,101.27,84.39,82.27,100.19,83.49,79.57
2016-02-15,101.88,84.9,80.68,100.78,83.98,80.01
2016-03-01,101.92,84.93,79.34,101.36,84.47,81.63
2016-03-15,102.52,85.8,83.24,103.14,86.11,82.75
2016-04-01,105.64,87.72,85.59,105.41,87.71,82.18
2016-04-15,107.27,89.11,86.49,106.77,88.73,84.05
2016-05-03,108.67,90.38,86.43,108.49,90.29,84.91
2016-05-17,108.86,91.01,88.58,108.89,90.92,87.55
2016-06-01,110.69,92.16,88.78,110.73,92.25,88.05
2016-06-15,111.66,93.06,88.07,111.86,93.24,88.07
2016-07-01,112.2,93.48,89.04,112.47,93.66,89.63
2016-07-15,110.76,93.5,88.14,110.98,93.94,87.89
2016-08-01,111.17,93.16,85.33,112.04,93.68,85.15
2016-08-15,110.22,91.78,88.07,111.18,92.36,89.89
2016-09-01,111.59,92.92,86.42,112.92,94.01,87.95
2016-09-15,111.93,93.22,88.46,113.12,94.2,88.7
2016-10-03,112.36,93.62,90.41,113.63,94.56,91.93
2016-10-17,115.14,95.83,92.51,116.88,97.21,94.92
2016-11-01,116.85,97.28,90.76,118.77,98.88,92.89
2016-11-15,115.92,97.18,87.83,117.84,98.68,90.92
2016-12-01,113.37,94.97,92.03,115.95,96.97,94.16
2016-12-15,115.52,96.12,92.33,118.06,98.19,94.84
2017-01-03,117.77,98.25,94.4,120.34,100.29,96.68
2017-01-17,119.55,99.57,94.89,122,101.65,95.57
2017-02-01,120.05,100.01,95.03,122.31,101.92,95.61
2017-02-15,120.1,100.09,95.72,122.29,101.93,95.72
2017-03-01,120.15,100.19,94.52,122.19,101.88,96.5
2017-03-15,119.31,99.72,92.31,121.44,101.48,93.68
2017-04-03,117.6,97.84,94.47,119.54,99.47,94.01
2017-04-18,118.68,98.7,94.59,120.46,100.21,94.52
2017-05-02,118.54,98.79,91.31,120.29,100.21,91.51
2017-05-15,116.29,97,93.02,117.45,97.78,92.15
2017-06-01,116.69,97.27,93.14,117.77,98.12,91.67
2017-06-15,116.18,96.9,90.37,117.05,97.67,89.95
2017-07-03,114.47,95.28,91.35,115.27,95.85,91.66
2017-07-17,114.66,95.62,91.08,115.43,96.13,91.31
2017-08-01,115.25,95.98,92.38,116.09,96.66,92.91
2017-08-15,116.55,97.11,92.7,117.47,97.87,93.15
2017-09-01,118.19,97.93,96.75,118.81,98.64,95.85
2017-09-15,119.89,99.81,93.34,120.54,100.38,95.09
2017-10-02,118.84,99.25,91.02,120.21,100.16,95.67
2017-10-17,117.92,98.35,92.56,120.26,100.25,96.62
2017-11-01,118.43,98.48,95.29,120.96,100.67,97.08
2017-11-15,120.43,100.42,95.28,122.85,102.33,97.9
2017-12-01,120.66,100.65,94.82,123.06,102.65,97.51
2017-12-15,120.59,100.63,94.78,123.11,102.68,97.46
2018-01-02,120.9,100.93,95.01,123.48,102.88,98.64
2018-01-15,121.67,101.38,96.14,124.47,103.68,99.13
2018-02-01,122.34,101.87,96.06,125.08,104.2,97.93
2018-02-15,121.47,101.33,92.93,123.93,103.34,94.99
2018-03-01,120.05,100.12,93.42,122.83,102.38,95.96
