Entity,Code,Year,Plastic waste generation per capita
Afghanistan,AFG,2020,22.118752
Africa (UN M49),,2020,21.45782
Akrotiri and Dhekelia,OWID_AKD,2020,70.455055
Aland Islands,ALA,2020,64.888084
Albania,ALB,2020,45.700294
Algeria,DZA,2020,33.999477
American Samoa,ASM,2020,43.08616
Americas (UN M49),,2020,53.56487
Andorra,AND,2020,81.45857
Angola,AGO,2020,29.233612
Anguilla,AIA,2020,34.092785
Antigua and Barbuda,ATG,2020,75.72931
Argentina,ARG,2020,53.38393
Armenia,ARM,2020,37.50392
Aruba,ABW,2020,90.22238
Asia (UN M49),,2020,27.736652
Australia,AUS,2020,54.58498
Austria,AUT,2020,67.51663
Azerbaijan,AZE,2020,33.813522
Bahamas,BHS,2020,83.99232
Bahrain,BHR,2020,57.640438
Bangladesh,BGD,2020,19.46173
Barbados,BRB,2020,75.52421
Belarus,BLR,2020,46.60742
Belgium,BEL,2020,54.99556
Belize,BLZ,2020,73.90069
Benin,BEN,2020,18.548536
Bermuda,BMU,2020,59.15794
Bhutan,BTN,2020,15.41971
Bolivia,BOL,2020,27.974976
Bonaire Sint Eustatius and Saba,BES,2020,82.77867
Bosnia and Herzegovina,BIH,2020,36.277607
Botswana,BWA,2020,41.910778
Brazil,BRA,2020,41.236485
British Virgin Islands,VGB,2020,89.74809
Brunei,BRN,2020,98.08689
Bulgaria,BGR,2020,40.170273
Burkina Faso,BFA,2020,11.92377
Burundi,BDI,2020,15.457147
Cambodia,KHM,2020,51.745037
Cameroon,CMR,2020,26.230238
Canada,CAN,2020,50.728954
Cape Verde,CPV,2020,40.751675
Cayman Islands,CYM,2020,78.10354
Central African Republic,CAF,2020,12.379808
Chad,TCD,2020,17.037666
Chile,CHL,2020,56.25487
China,CHN,2020,29.010008
Christmas Island,CXR,2020,31.49111
Cocos Islands,CCK,2020,30.789217
Colombia,COL,2020,34.806366
Comoros,COM,2020,23.76862
Congo,COG,2020,25.62009
Cook Islands,COK,2020,89.6071
Costa Rica,CRI,2020,41.410614
Cote d'Ivoire,CIV,2020,21.555182
Croatia,HRV,2020,63.85697
Cuba,CUB,2020,49.923546
Curacao,CUW,2020,85.56081
Cyprus,CYP,2020,78.48453
Czechia,CZE,2020,56.219997
Democratic Republic of Congo,COD,2020,13.956844
Denmark,DNK,2020,55.803055
Djibouti,DJI,2020,30.669313
Dominica,DMA,2020,49.30498
Dominican Republic,DOM,2020,36.302776
East Timor,TLS,2020,21.978992
Ecuador,ECU,2020,42.44326
Egypt,EGY,2020,30.28603
El Salvador,SLV,2020,35.921936
Equatorial Guinea,GNQ,2020,43.84879
Eritrea,ERI,2020,18.107857
Estonia,EST,2020,63.692177
Eswatini,SWZ,2020,24.50225
Ethiopia,ETH,2020,7.916454
Europe (UN M49),,2020,50.077747
Falkland Islands,FLK,2020,74.86674
Faroe Islands,FRO,2020,67.21627
Fiji,FJI,2020,32.06142
Finland,FIN,2020,58.794106
France,FRA,2020,66.36636
French Guiana,GUF,2020,55.463802
French Polynesia,PYF,2020,78.10096
Gabon,GAB,2020,33.542747
Gambia,GMB,2020,17.482418
Georgia,GEO,2020,45.038437
Germany,DEU,2020,49.507404
Ghana,GHA,2020,26.790287
Gibraltar,GIB,2020,53.34953
Greece,GRC,2020,58.035027
Greenland,GRL,2020,52.54304
Grenada,GRD,2020,55.202187
Guadeloupe,GLP,2020,53.617516
Guam,GUM,2020,85.86278
Guatemala,GTM,2020,27.91111
Guernsey,GGY,2020,55.3519
Guinea,GIN,2020,9.974906
Guinea-Bissau,GNB,2020,17.691618
Guyana,GUY,2020,34.59664
Haiti,HTI,2020,27.368914
High-income countries,OWID_HIC,2020,62.715527
Honduras,HND,2020,25.255661
Hong Kong,HKG,2020,91.43367
Hungary,HUN,2020,68.114525
Iceland,ISL,2020,55.640697
India,IND,2020,19.894423
Indonesia,IDN,2020,30.045897
Iran,IRN,2020,32.963863
Iraq,IRQ,2020,42.256058
Ireland,IRL,2020,55.997574
Isle of Man,IMN,2020,46.436024
Israel,ISR,2020,58.479454
Italy,ITA,2020,67.154465
Jamaica,JAM,2020,45.673725
Japan,JPN,2020,47.003487
Jersey,JEY,2020,55.57274
Jordan,JOR,2020,53.961987
Kazakhstan,KAZ,2020,41.008736
Kenya,KEN,2020,18.318827
Kiribati,KIR,2020,16.16325
Kosovo,OWID_KOS,2020,49.716602
Kuwait,KWT,2020,84.832115
Kyrgyzstan,KGZ,2020,46.428265
Laos,LAO,2020,24.211075
Latvia,LVA,2020,64.89193
Lebanon,LBN,2020,40.302845
Lesotho,LSO,2020,24.657953
Liberia,LBR,2020,16.876488
Libya,LBY,2020,29.941465
Liechtenstein,LIE,2020,43.74485
Lithuania,LTU,2020,62.078163
Low-income countries,OWID_LIC,2020,15.967031
Lower-middle-income countries,OWID_LMC,2020,24.216103
Luxembourg,LUX,2020,54.18648
Macao,MAC,2020,84.83301
Madagascar,MDG,2020,10.893481
Malawi,MWI,2020,11.540612
Malaysia,MYS,2020,46.139015
Maldives,MDV,2020,40.803665
Mali,MLI,2020,13.052419
Malta,MLT,2020,67.85591
Marshall Islands,MHL,2020,29.072327
Martinique,MTQ,2020,48.254787
Mauritania,MRT,2020,24.62836
Mauritius,MUS,2020,44.472633
Mayotte,MYT,2020,45.062298
Mexico,MEX,2020,45.708332
Micronesia (country),FSM,2020,19.537289
Moldova,MDA,2020,22.067987
Monaco,MCO,2020,80.894035
Mongolia,MNG,2020,35.0269
Montenegro,MNE,2020,68.40288
Montserrat,MSR,2020,72.34185
Morocco,MAR,2020,34.33464
Mozambique,MOZ,2020,15.322708
Myanmar,MMR,2020,27.041883
Namibia,NAM,2020,33.897896
Nauru,NRU,2020,76.286354
Nepal,NPL,2020,17.396172
Netherlands,NLD,2020,49.495518
New Caledonia,NCL,2020,79.41013
New Zealand,NZL,2020,73.429985
Nicaragua,NIC,2020,29.343771
Niger,NER,2020,7.6309223
Nigeria,NGA,2020,26.982248
Niue,NIU,2020,29.586117
Norfolk Island,NFK,2020,76.93648
North Korea,PRK,2020,25.292168
North Macedonia,MKD,2020,42.55271
Northern Cyprus,OWID_CYN,2020,57.994938
Northern Mariana Islands,MNP,2020,89.11835
Norway,NOR,2020,43.903088
Oceania (UN M49),,2020,48.56264
Oman,OMN,2020,54.015583
Pakistan,PAK,2020,21.74189
Palau,PLW,2020,45.64472
Palestine,PSE,2020,41.090416
Panama,PAN,2020,41.40283
Papua New Guinea,PNG,2020,21.307005
Paracel Islands,,2020,34.682068
Paraguay,PRY,2020,46.055584
Peru,PER,2020,37.08425
Philippines,PHL,2020,31.88892
Pitcairn Islands,,2020,17.550352
Poland,POL,2020,53.899822
Portugal,PRT,2020,56.47036
Puerto Rico,PRI,2020,69.126335
Qatar,QAT,2020,75.04647
Reunion,REU,2020,53.904644
Romania,ROU,2020,34.255993
Russia,RUS,2020,41.9666
Rwanda,RWA,2020,20.802486
Saint Barthelemy,BLM,2020,52.805973
Saint Helena,SHN,2020,32.607822
Saint Kitts and Nevis,KNA,2020,87.768936
Saint Lucia,LCA,2020,56.71632
Saint Martin (French part),MAF,2020,50.318676
Saint Pierre and Miquelon,SPM,2020,69.39064
Saint Vincent and the Grenadines,VCT,2020,48.539845
Samoa,WSM,2020,33.95619
San Marino,SMR,2020,79.38529
Sao Tome and Principe,STP,2020,33.612106
Saudi Arabia,SAU,2020,75.27483
Senegal,SEN,2020,21.548824
Serbia,SRB,2020,47.667347
Seychelles,SYC,2020,85.82099
Sierra Leone,SLE,2020,11.224377
Singapore,SGP,2020,63.05804
Sint Maarten (Dutch part),SXM,2020,78.746254
Slovakia,SVK,2020,68.13317
Slovenia,SVN,2020,58.348034
Solomon Islands,SLB,2020,19.10275
Somalia,SOM,2020,19.072376
South Africa,ZAF,2020,40.75479
South Korea,KOR,2020,48.69923
South Sudan,SSD,2020,32.962162
Spain,ESP,2020,73.52711
Sri Lanka,LKA,2020,35.268265
Sudan,SDN,2020,24.63625
Suriname,SUR,2020,40.01604
Svalbard and Jan Mayen,SJM,2020,74.35056
Sweden,SWE,2020,46.240276
Switzerland,CHE,2020,43.746487
Syria,SYR,2020,33.99665
Taiwan,TWN,2020,61.547928
Tajikistan,TJK,2020,29.174982
Tanzania,TZA,2020,19.060566
Thailand,THA,2020,47.967552
Togo,TGO,2020,18.318016
Tokelau,TKL,2020,12.089662
Tonga,TON,2020,33.90128
Trinidad and Tobago,TTO,2020,61.76152
Tunisia,TUN,2020,35.907883
Turkey,TUR,2020,47.996128
Turkmenistan,TKM,2020,32.48831
Turks and Caicos Islands,TCA,2020,79.30824
Tuvalu,TUV,2020,29.655687
Uganda,UGA,2020,19.327776
Ukraine,UKR,2020,32.573418
United Arab Emirates,ARE,2020,111.069664
United Kingdom,GBR,2020,54.752804
United States,USA,2020,74.34526
United States Virgin Islands,VIR,2020,78.27857
