Entity,Code,Year,Other renewables,Modern biofuels,Solar,Coal,Gas,Oil,Wind,Nuclear,Hydropower,Traditional biomass
World,OWID_WRL,1800,0,0,0,97,0,0,0,0,0,5556
World,OWID_WRL,1810,0,0,0,128,0,0,0,0,0,5833
World,OWID_WRL,1820,0,0,0,153,0,0,0,0,0,6111
World,OWID_WRL,1830,0,0,0,264,0,0,0,0,0,6389
World,OWID_WRL,1840,0,0,0,356,0,0,0,0,0,6944
World,OWID_WRL,1850,0,0,0,569,0,0,0,0,0,7222
World,OWID_WRL,1860,0,0,0,1061,0,0,0,0,0,6944
World,OWID_WRL,1870,0,0,0,1642,0,6,0,0,0,6944
World,OWID_WRL,1880,0,0,0,2542,0,33,0,0,0,6944
World,OWID_WRL,1890,0,0,0,3856,33,89,0,0,38.88889,6667
World,OWID_WRL,1900,0,0,0,5728,64,181,0,0,47.22222,6111
World,OWID_WRL,1910,0,0,0,8656,142,397,0,0,91.666664,6389
World,OWID_WRL,1920,0,0,0,9833,233,889,0,0,177.77777,6944
World,OWID_WRL,1930,0,0,0,10125,603,1756,0,0,363.8889,7222
World,OWID_WRL,1940,0,0,0,11586,875,2653,0,0,533.3333,7222
World,OWID_WRL,1950,0,0,0,12603,2092,5444,0,0,925,7500
World,OWID_WRL,1960,0,0,0,15442,4472,11097,0,0,1913.8889,8889
World,OWID_WRL,1965,56.20385,9.029861,0,16177.694,6303.821,18011.457,0,70.94367,2564.439,9162
World,OWID_WRL,1966,61.893772,9.209844,0,16359.431,6868.8145,19426.414,0,95.64802,2732.8247,9218
World,OWID_WRL,1967,62.45803,9.383716,0,16095.518,7374.058,20778.916,0,113.905594,2793.7288,9274
World,OWID_WRL,1968,69.12514,9.5538,0,16333.144,8044.3477,22510.49,0,144.75877,2942.4685,9331
World,OWID_WRL,1969,72.68114,9.723982,0,16847,8833.434,24445.395,0,171.62059,3115.9512,9387
World,OWID_WRL,1970,80.31843,13.501495,0,17087.006,9614.809,26684.725,0,219.09625,3262.9155,9444
World,OWID_WRL,1971,87.15092,13.562147,0,16987.656,10293.19,28116.584,0,304.73383,3409.0059,9499
World,OWID_WRL,1972,93.40242,14.823111,0,17168.227,10861.714,30335.396,0,422.70874,3568.4138,9553
World,OWID_WRL,1973,100.29954,14.250557,0,17683.57,11377.833,32730.184,0,566.39325,3619.4802,9608
World,OWID_WRL,1974,107.15339,14.334716,0,17696.432,11659.859,32230.395,0,740.5558,3975.6433,9663
World,OWID_WRL,1975,108.78775,13.688392,0,18045.436,11659.736,31996.514,0,1027.3561,4024.676,9718
World,OWID_WRL,1976,121.22203,13.75119,0,18699.785,12354.139,34061.47,0,1201.865,4008.7126,9774
World,OWID_WRL,1977,127.78763,18.318535,0,19267.412,12759.838,35194.34,0,1495.9661,4143.534,9830
World,OWID_WRL,1978,135.30203,23.178776,0,19467.492,13293.947,36709.973,0.008333333,1738.3176,4484.395,9886
World,OWID_WRL,1979,145.31018,28.023214,0,20370.578,14118.029,37177.996,0.016666666,1807.9442,4708.85,9943
