Section,Period,Category,Percentage
Overall Categories,September 2023,"Broadcast",23.0
Overall Categories,September 2023,"Cable",29.8
Overall Categories,September 2023,"Streaming",37.5
Overall Categories,September 2023,"Other",9.6
Streaming Services,September 2023,"YouTube Main",9.0
Streaming Services,September 2023,"Netflix",7.8
Streaming Services,September 2023,"Other Streaming",5.0
Streaming Services,September 2023,"Prime Video",3.6
Streaming Services,September 2023,"Hulu",3.6
Streaming Services,September 2023,"Disney+",1.9
Streaming Services,September 2023,"Tubi",1.3
Streaming Services,September 2023,"Max",1.2
Streaming Services,September 2023,"Roku Channel",1.1
Streaming Services,September 2023,"Peacock",1.1
Streaming Services,September 2023,"Paramount+",1.0
Streaming Services,September 2023,"Pluto TV",0.8
Trended View,"September 2022","Broadcast",24.2
Trended View,"September 2022","Cable",33.8
Trended View,"September 2022","Streaming",31.6
Trended View,"September 2022","Other",10.4
Trended View,"October 2022","Broadcast",26.0
Trended View,"October 2022","Cable",32.9
Trended View,"October 2022","Streaming",31.6
Trended View,"October 2022","Other",9.6
Trended View,"November 2022","Broadcast",25.7
Trended View,"November 2022","Cable",31.8
Trended View,"November 2022","Streaming",32.4
Trended View,"November 2022","Other",10.1
Trended View,"December 2022","Broadcast",24.7
Trended View,"December 2022","Cable",30.9
Trended View,"December 2022","Streaming",32.8
Trended View,"December 2022","Other",11.6
Trended View,"January 2023","Broadcast",24.9
Trended View,"January 2023","Cable",30.4
Trended View,"January 2023","Streaming",32.8
Trended View,"January 2023","Other",11.9
Trended View,"February 2023","Broadcast",23.8
Trended View,"February 2023","Cable",30.2
Trended View,"February 2023","Streaming",34.3
Trended View,"February 2023","Other",11.7
Trended View,"March 2023","Broadcast",23.3
Trended View,"March 2023","Cable",31.1
Trended View,"March 2023","Streaming",34.1
Trended View,"March 2023","Other",11.6
Trended View,"April 2023","Broadcast",23.1
Trended View,"April 2023","Cable",31.5
Trended View,"April 2023","Streaming",34.0
Trended View,"April 2023","Other",11.5
Trended View,"May 2023","Broadcast",22.8
Trended View,"May 2023","Cable",31.1
Trended View,"May 2023","Streaming",36.4
Trended View,"May 2023","Other",9.7
Trended View,"June 2023","Broadcast",20.8
Trended View,"June 2023","Cable",30.6
Trended View,"June 2023","Streaming",37.7
Trended View,"June 2023","Other",10.9
Trended View,"July 2023","Broadcast",20.0
Trended View,"July 2023","Cable",29.6
Trended View,"July 2023","Streaming",38.7
Trended View,"July 2023","Other",11.6
Trended View,"August 2023","Broadcast",20.4
Trended View,"August 2023","Cable",30.2
Trended View,"August 2023","Streaming",38.3
Trended View,"August 2023","Other",11.1
Trended View,"September 2023","Broadcast",23.0
Trended View,"September 2023","Cable",29.8
Trended View,"September 2023","Streaming",37.5
Trended View,"September 2023","Other",9.6
