Team,Average attendance,YoY change (%)
ANAHEIM,15870,11
BOSTON,17550,0
BUFFALO,18870,1
CALGARY,19260,0
CAROLINA,18140,15
CHICAGO,21510,0
COLORADO,15110,1
COLUMBUS,14047,8
DALLAS,17980,94
DETROIT,20050,0
EDMONTON,16820,0
FLORIDA,17580,16
LOS ANGELES,18310,19
MINNESOTA,18340,8
MONTREAL,21240,0
NASHVILLE,17090,4
NEW JERSEY,17120,22
NY ISLANDERS,13400,4
NY RANGERS,17190,-5
OTTAWA,19000,2
PHILADELPHIA,19690,0
PHOENIX,12349,23
PITTSBURGH,18640,1
SAN JOSE,17550,0
ST LOUIS,17650,-8
TAMPA BAY,19200,1
TORONTO,19230,-1
VANCOUVER,19030,1
WASHINGTON,18470,0
WINNIPEG,14980,0
