Country,Defence Expenditure 2023 (US$ billion),Average Annual Change 2014-2023 (%),Label,Highlight
Albania,0.4,8.0,,False
Belgium,7.6,4.1,,False
Bulgaria,2.0,8.0,,False
Canada,28.0,4.6,Canada,False
Croatia,1.4,2.7,,False
Czechia,4.5,6.3,,False
Denmark,8.1,8.8,,False
Estonia,1.2,8.0,,False
Finland,6.3,5.2,,False
France,59.4,1.9,France,False
Germany,73.1,4.7,Germany,False
Greece,6.7,3.8,,False
Hungary,4.4,13.6,Hungary,False
Italy,33.9,4.1,Italy,False
Latvia,1.3,9.0,,False
Lithuania,2.2,30.5,Lithuania,False
Luxembourg,0.6,8.0,Luxembourg,False
Montenegro,0.1,0.0,,False
Netherlands,16.8,6.3,,False
North Macedonia,0.3,13.0,,False
Norway,8.8,3.4,,False
Poland,26.5,10.3,Poland,False
Portugal,4.2,3.4,,False
Romania,5.6,5.4,,False
Slovak Republic,2.4,9.1,,False
Slovenia,0.9,6.7,,False
Spain,18.9,4.8,,False
Sweden,9.8,7.3,,False
Turkey,16.6,5.2,,False
United Kingdom,76.9,2.1,United Kingdom,True
